Game,Platform,Record,Link
Resident Evil 3 (Remake),PS4,PSN,https://www.truetrophies.com/gamer/EvaPilot1/games
Resident Evil 3: Nemesis,PS1,Twitch,https://www.twitch.tv/evapilot1/about
Resident Evil 4,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Resident Evil 5,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Resident Evil 7,PS4,PSN,https://www.truetrophies.com/gamer/EvaPilot1/games
Resident Evil Code: Veronica,DC,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
Resident Evil REmake,GC,Twitch,https://www.twitch.tv/evapilot1/about
Resident Evil Village,PS4,PSN,https://www.truetrophies.com/gamer/EvaPilot1/games
Resident Evil: The Darkside Chronicles,Wii,Twitch,https://www.twitch.tv/evapilot1/about
Resident Evil: The Umbrella Chronicles,Wii,Twitch,https://www.twitch.tv/evapilot1/about
Robolife2 - Nova Duty,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Rogue Tower,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Scarlet Skips,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
SegaSonic Cosmo Fighter Galaxy Patrol,ARC,Retro,https://retroachievements.org/user/EvaPilot1/progress?page%5Bnumber%5D=1&filter%5Bstatus%5D=awarded
SG/ZH: School Girl/Zombie Hunter,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Shadow the Hedgehog,GC,None,
Silent Hill 2,PS2,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
Sky Force Anniversary,Vita,PSN,https://www.truetrophies.com/gamer/EvaPilot1/games
Sky Force Reloaded,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Slay the Spire,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Slime Rancher,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Slots & Daggers,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Sniper Elite V2,360,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
Sonic Adventure,DC,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
Sonic Adventure 2,DC,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
Sonic Chaos,SMS,Retro,https://retroachievements.org/user/EvaPilot1/progress?page%5Bnumber%5D=1&filter%5Bstatus%5D=awarded
Sonic Heroes,GC,None,
Sonic the Hedgehog,MD,Retro,https://retroachievements.org/user/EvaPilot1/progress?page%5Bnumber%5D=1&filter%5Bstatus%5D=awarded
Sonic The Hedgehog 2,MD,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
Soulcalibur II,GC,None,
Soulcalibur III,PS2,None,
SoulCalibur IV,360,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
SSX Tricky,PS2,None,
Star Fox 64,N64,Retro,https://retroachievements.org/user/EvaPilot1/progress?page%5Bnumber%5D=1&filter%5Bstatus%5D=awarded
Star Ocean: The Last Hope,360,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
